amount,contributor_name,date,honoree_name,state,country
1000.00,PASS PAC,2013-03-25,Bill Pascrell,DC,US
1000.00,PASS PAC,2013-02-04,Ann Kirkpatrick,DC,US
1000.00,PASS PAC,2013-03-27,Steve Cohen,DC,US
1000.00,PASS PAC,2013-06-20,Ed Perlmutter,DC,US
1000.00,PASS PAC,2013-03-25,Jim Clyburn,DC,US
1500.00,PASS PAC,2013-06-20,Cheri Bustos,DC,US
2000.00,PASS PAC,2013-06-20,Kyrsten Sinema,DC,US
1000.00,PASS PAC,2013-05-29,Frank Wolf,DC,US
1500.00,PASS PAC,2013-03-25,Dina Titus,DC,US
500.00,"BANGERT, PHILIP",2013-03-07,Doc Hastings,DC,US
1000.00,"BANGERT, PHILIP",2013-05-06,Senator Mary Landrieu,DC,US
500.00,"BANGERT, PHILIP",2013-06-04,Senator Mary Landrieu,DC,US
1000.00,"BANGERT, PHILIP",2013-03-21,Mark Begich,DC,US
75.00,"HERZOG, JOHN",2013-06-01,NRSC Network,DC,US
75.00,"HERZOG, JOHN",2013-03-01,NRSC Network,DC,US
1000.00,"HERZOG, JOHN",2013-02-12,Lamar Alexander,DC,US
75.00,"HERZOG, JOHN",2013-04-01,NRSC Network,DC,US
250.00,"HERZOG, JOHN",2013-05-16,Marco Rubio,DC,US
500.00,"HERZOG, JOHN",2013-05-15,John Shimkus,DC,US
1000.00,"HERZOG, JOHN",2013-03-20,Mike Crapo,DC,US
75.00,"HERZOG, JOHN",2013-05-01,NRSC Network,DC,US
75.00,"HERZOG, JOHN",2013-02-01,NRSC Network,DC,US
75.00,"HERZOG, JOHN",2013-01-01,NRSC Network,DC,US
250.00,"GRAEFE DORTON, ERIN",2013-06-28,Rep. Dan Maffei,DC,US
250.00,"GRAEFE DORTON, ERIN",2013-06-30,Democratic House of Representatives Candidates,DC,US
500.00,"GRAEFE DORTON, ERIN",2013-03-31,Senator Joe Donnelly,DC,US
500.00,"GRAEFE DORTON, ERIN",2013-03-31,"Representative Ed Markey, Senate Candidate",DC,US
500.00,"GRAEFE DORTON, ERIN",2013-03-12,"Representative Ed Markey, Senate Candidate",DC,US
500.00,"GRAEFE DORTON, ERIN",2013-06-30,Rep. Doris Matsui,DC,US
1000.00,"FLOOD, MICHAEL P JR",2013-01-07,AALU PAC,DC,US
1000.00,"FLOOD, MICHAEL P JR",2013-06-18,Congressman David Schweikert,DC,US
500.00,NATIONAL INDUSTRIAL SAND ASSOCIATION POLITICAL ACTION COMMIT,2013-06-10,Frank LoBiondo,DC,US
1000.00,"VERSAGE, VINCENT",2013-03-30,Brian Schatz,DC,US
