Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
2404,H000230,"Harrington, Michael J.",Democratic,Massachusetts,https://api.congress.gov/v3/member/H000230?format=json,6.0,,,1969.0,1979.0,,N,,10.0,N,Y,U,378.0
2405,H000206,"Harkin, Tom",Democratic,Iowa,https://api.congress.gov/v3/member/H000206?format=json,,2015.0,1985.0,1975.0,1985.0,N,N,30.0,10.0,Y,Y,U,1400.0
2406,H000175,"Hansen, Orval",Republican,Idaho,https://api.congress.gov/v3/member/H000175?format=json,2.0,,,1969.0,1975.0,,N,,6.0,N,Y,U,52.0
2407,H000174,"Hansen, Julia Butler",Democratic,Washington,https://api.congress.gov/v3/member/H000174?format=json,3.0,,,1959.0,1975.0,,N,,16.0,N,Y,U,7.0
2408,H000172,"Hansen, James V.",Republican,Utah,https://api.congress.gov/v3/member/H000172?format=json,1.0,,,1981.0,2003.0,,N,,22.0,N,Y,U,193.0
2409,H000171,"Hansen, George V.",Republican,Idaho,https://api.congress.gov/v3/member/H000171?format=json,2.0,,,1965.0,1969.0,,N,,4.0,N,Y,U,303.0
2410,H000168,"Hanrahan, Robert P.",Republican,Illinois,https://api.congress.gov/v3/member/H000168?format=json,3.0,,,1973.0,1975.0,,N,,2.0,N,Y,U,31.0
2411,H000166,"Hannaford, Mark W.",Democratic,California,https://api.congress.gov/v3/member/H000166?format=json,34.0,,,1975.0,1979.0,,N,,4.0,N,Y,U,95.0
2412,H000164,"Hanna, Richard T.",Democratic,California,https://api.congress.gov/v3/member/H000164?format=json,34.0,,,1963.0,1975.0,,N,,12.0,N,Y,U,22.0
2413,H000158,"Hanley, James M.",Democratic,New York,https://api.congress.gov/v3/member/H000158?format=json,32.0,,,1965.0,1981.0,,N,,16.0,N,Y,U,168.0
2414,H000151,"Hancock, Mel",Republican,Missouri,https://api.congress.gov/v3/member/H000151?format=json,7.0,,,1989.0,1997.0,,N,,8.0,N,Y,U,9.0
2415,H000144,"Hance, Kent R.",Democratic,Texas,https://api.congress.gov/v3/member/H000144?format=json,19.0,,,1979.0,1985.0,,N,,6.0,N,Y,U,60.0
2416,H000124,"Hammerschmidt, John P.",Republican,Arkansas,https://api.congress.gov/v3/member/H000124?format=json,3.0,,,1967.0,1993.0,,N,,26.0,N,Y,U,605.0
2417,H000114,"Hamilton, Lee H.",Democratic,Indiana,https://api.congress.gov/v3/member/H000114?format=json,9.0,,,1965.0,1999.0,,N,,34.0,N,Y,U,183.0
2418,H000096,"Hamburg, Dan",Democratic,California,https://api.congress.gov/v3/member/H000096?format=json,1.0,,,1993.0,1995.0,,N,,2.0,N,Y,U,6.0
2419,H000074,"Hall, Tony P.",Democratic,Ohio,https://api.congress.gov/v3/member/H000074?format=json,3.0,,,1979.0,2002.0,,N,,23.0,N,Y,U,231.0
2420,H000073,"Hall, Tim L.",Democratic,Illinois,https://api.congress.gov/v3/member/H000073?format=json,15.0,,,1975.0,1977.0,,N,,2.0,N,Y,U,10.0
2421,H000070,"Hall, Sam B., Jr.",Democratic,Texas,https://api.congress.gov/v3/member/H000070?format=json,1.0,,,1975.0,1987.0,,N,,12.0,N,Y,U,128.0
2422,H000067,"Hall, Ralph M.",Republican,Texas,https://api.congress.gov/v3/member/H000067?format=json,4.0,,,1981.0,2015.0,,N,,34.0,N,Y,U,151.0
2423,H000058,"Hall, Katie",Democratic,Indiana,https://api.congress.gov/v3/member/H000058?format=json,1.0,,,1981.0,1985.0,,N,,4.0,N,Y,U,8.0
2424,H000041,"Haley, James A.",Democratic,Florida,https://api.congress.gov/v3/member/H000041?format=json,8.0,,,1953.0,1977.0,,N,,24.0,N,Y,U,42.0
2425,H000012,"Hagedorn, Thomas M.",Republican,Minnesota,https://api.congress.gov/v3/member/H000012?format=json,2.0,,,1975.0,1983.0,,N,,8.0,N,Y,U,113.0
2426,G000537,"Guyer, Tennyson",Republican,Ohio,https://api.congress.gov/v3/member/G000537?format=json,4.0,,,1973.0,1983.0,,N,,10.0,N,Y,U,156.0
2427,G000536,"Gutknecht, Gil",Republican,Minnesota,https://api.congress.gov/v3/member/G000536?format=json,1.0,,,1995.0,2007.0,,N,,12.0,N,Y,U,48.0
2428,G000535,"Gutierrez, Luis V.",Democratic,Illinois,https://api.congress.gov/v3/member/G000535?format=json,4.0,,,1993.0,2019.0,,N,,26.0,N,Y,U,188.0
2429,G000528,"Gunter, Bill",Democratic,Florida,https://api.congress.gov/v3/member/G000528?format=json,5.0,,,1973.0,1975.0,,N,,2.0,N,Y,U,55.0
2430,G000524,"Gunderson, Steve",Republican,Wisconsin,https://api.congress.gov/v3/member/G000524?format=json,3.0,,,1981.0,1997.0,,N,,16.0,N,Y,U,167.0
2431,G000515,"Gudger, V. Lamar",Democratic,North Carolina,https://api.congress.gov/v3/member/G000515?format=json,11.0,,,1977.0,1981.0,,N,,4.0,N,Y,U,20.0
2432,G000513,"Gude, Gilbert",Republican,Maryland,https://api.congress.gov/v3/member/G000513?format=json,8.0,,,1967.0,1977.0,,N,,10.0,N,Y,U,264.0
2433,G000512,"Gubser, Charles S.",Republican,California,https://api.congress.gov/v3/member/G000512?format=json,10.0,,,1953.0,1975.0,,N,,22.0,N,Y,U,51.0
2434,G000511,"Guarini, Frank J.",Democratic,New Jersey,https://api.congress.gov/v3/member/G000511?format=json,14.0,,,1979.0,1993.0,,N,,14.0,N,Y,U,257.0
2435,G000504,"Grover, James R., Jr.",Republican,New York,https://api.congress.gov/v3/member/G000504?format=json,2.0,,,1963.0,1975.0,,N,,12.0,N,Y,U,19.0
2436,G000499,"Grotberg, John E.",Republican,Illinois,https://api.congress.gov/v3/member/G000499?format=json,14.0,,,1985.0,1987.0,,N,,2.0,N,Y,U,8.0
2437,G000495,"Gross, H. R.",Republican,Iowa,https://api.congress.gov/v3/member/G000495?format=json,3.0,,,1949.0,1975.0,,N,,26.0,N,Y,U,21.0
2438,G000480,"Grisham, Wayne R.",Republican,California,https://api.congress.gov/v3/member/G000480?format=json,33.0,,,1979.0,1983.0,,N,,4.0,N,Y,U,9.0
2439,G000471,"Griffiths, Martha W.",Democratic,Michigan,https://api.congress.gov/v3/member/G000471?format=json,17.0,,,1955.0,1975.0,,N,,20.0,N,Y,U,43.0
2440,G000445,"Gregg, Judd",Republican,New Hampshire,https://api.congress.gov/v3/member/G000445?format=json,,2011.0,1993.0,1981.0,1989.0,N,N,18.0,8.0,Y,Y,U,528.0
2441,G000439,"Greenwood, James C.",Republican,Pennsylvania,https://api.congress.gov/v3/member/G000439?format=json,8.0,,,1993.0,2005.0,,N,,12.0,N,Y,U,117.0
2442,G000420,"Green, William J.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/G000420?format=json,3.0,,,1963.0,1977.0,,N,,14.0,N,Y,U,107.0
2443,G000417,"Green, S. William",Republican,New York,https://api.congress.gov/v3/member/G000417?format=json,15.0,,,1977.0,1993.0,,N,,16.0,N,Y,U,203.0
2444,G000410,"Green, Gene",Democratic,Texas,https://api.congress.gov/v3/member/G000410?format=json,29.0,,,1993.0,2019.0,,N,,26.0,N,Y,U,315.0
2445,G000407,"Green, Edith",Democratic,Oregon,https://api.congress.gov/v3/member/G000407?format=json,3.0,,,1955.0,1975.0,,N,,20.0,N,Y,U,24.0
2446,G000402,"Gray, William H., III",Democratic,Pennsylvania,https://api.congress.gov/v3/member/G000402?format=json,2.0,,,1979.0,1993.0,,N,,14.0,N,Y,U,68.0
2447,G000400,"Gray, Kenneth J.",Democratic,Illinois,https://api.congress.gov/v3/member/G000400?format=json,22.0,,,1955.0,1975.0,,N,,20.0,N,Y,U,89.0
2448,G000387,"Grasso, Ella T.",Democratic,Connecticut,https://api.congress.gov/v3/member/G000387?format=json,6.0,,,1971.0,1975.0,,N,,4.0,N,Y,U,93.0
2449,G000382,"Grant, Bill",Republican,Florida,https://api.congress.gov/v3/member/G000382?format=json,2.0,,,1987.0,1991.0,,N,,4.0,N,Y,U,21.0
2450,G000371,"Grandy, Fred",Republican,Iowa,https://api.congress.gov/v3/member/G000371?format=json,5.0,,,1987.0,1995.0,,N,,8.0,N,Y,U,39.0
2451,G000367,"Grams, Rod",Republican,Minnesota,https://api.congress.gov/v3/member/G000367?format=json,,2001.0,1995.0,1993.0,1995.0,N,N,6.0,2.0,Y,Y,U,185.0
2452,G000365,"Gramm, Phil",Republican,Texas,https://api.congress.gov/v3/member/G000365?format=json,,2002.0,1985.0,1979.0,1985.0,N,N,17.0,6.0,Y,Y,U,887.0
2453,G000349,"Gradison, Willis D., Jr.",Republican,Ohio,https://api.congress.gov/v3/member/G000349?format=json,2.0,,,1975.0,1995.0,,N,,20.0,N,Y,U,167.0
2454,G000336,"Goss, Porter J.",Republican,Florida,https://api.congress.gov/v3/member/G000336?format=json,14.0,,,1989.0,2004.0,,N,,15.0,N,Y,U,236.0
2455,G000321,"Gore, Albert, Jr.",Democratic,Tennessee,https://api.congress.gov/v3/member/G000321?format=json,,1993.0,1985.0,1977.0,1985.0,N,N,8.0,8.0,Y,Y,U,298.0
2456,G000309,"Gordon, Bart",Democratic,Tennessee,https://api.congress.gov/v3/member/G000309?format=json,6.0,,,1985.0,2011.0,,N,,26.0,N,Y,U,229.0
2457,G000291,"Goodling, William F.",Republican,Pennsylvania,https://api.congress.gov/v3/member/G000291?format=json,19.0,,,1975.0,2001.0,,N,,26.0,N,Y,U,363.0
2458,G000289,"Goodlatte, Bob",Republican,Virginia,https://api.congress.gov/v3/member/G000289?format=json,6.0,,,1993.0,2019.0,,N,,26.0,N,Y,U,234.0
2459,G000272,"Gonzalez, Henry B.",Democratic,Texas,https://api.congress.gov/v3/member/G000272?format=json,20.0,,,1961.0,1999.0,,N,,38.0,N,Y,U,519.0
2460,G000268,"Goldwater, Barry, Jr.",Republican,California,https://api.congress.gov/v3/member/G000268?format=json,20.0,,,1969.0,1983.0,,N,,14.0,N,Y,U,186.0
2461,G000240,"Glickman, Dan",Democratic,Kansas,https://api.congress.gov/v3/member/G000240?format=json,4.0,,,1977.0,1995.0,,N,,18.0,N,Y,U,302.0
2462,G000226,"Ginn, Bo",Democratic,Georgia,https://api.congress.gov/v3/member/G000226?format=json,1.0,,,1973.0,1983.0,,N,,10.0,N,Y,U,91.0
2463,G000225,"Gingrich, Newt",Republican,Georgia,https://api.congress.gov/v3/member/G000225?format=json,6.0,,,1979.0,1999.0,,N,,20.0,N,Y,U,79.0
2464,G000212,"Gilman, Benjamin A.",Republican,New York,https://api.congress.gov/v3/member/G000212?format=json,20.0,,,1973.0,2003.0,,N,,30.0,N,Y,U,671.0
2465,G000210,"Gillmor, Paul E.",Republican,Ohio,https://api.congress.gov/v3/member/G000210?format=json,5.0,,,1989.0,2007.0,,N,,18.0,N,Y,U,112.0
2466,G000180,"Gilchrest, Wayne T.",Republican,Maryland,https://api.congress.gov/v3/member/G000180?format=json,1.0,,,1991.0,2009.0,,N,,18.0,N,Y,U,132.0
2467,G000153,"Gibbons, Sam",Democratic,Florida,https://api.congress.gov/v3/member/G000153?format=json,11.0,,,1963.0,1997.0,,N,,34.0,N,Y,U,267.0
2468,G000151,"Giaimo, Robert N.",Democratic,Connecticut,https://api.congress.gov/v3/member/G000151?format=json,3.0,,,1959.0,1981.0,,N,,22.0,N,Y,U,85.0
2469,G000144,"Gettys, Tom S.",Democratic,South Carolina,https://api.congress.gov/v3/member/G000144?format=json,5.0,,,1963.0,1975.0,,N,,12.0,N,Y,U,3.0
2470,G000134,"Geren, Pete",Democratic,Texas,https://api.congress.gov/v3/member/G000134?format=json,12.0,,,1989.0,1997.0,,N,,8.0,N,Y,U,31.0
