,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle
352,C000356,"Chiles, Lawton",Democratic,Florida,,1989.0,1971.0,,,N,,18.0,,Y,N,,,Chiles,Lawton,
353,C000269,"Chafee, John H.",Republican,Rhode Island,,1999.0,1977.0,,,N,,22.0,,Y,N,,,Chafee,John,H.
354,C000220,"Case, Clifford P.",Republican,New Jersey,,1979.0,1955.0,1945.0,1955.0,N,N,24.0,10.0,Y,Y,,,Case,Clifford,P.
355,C000120,"Cannon, Howard W.",Democratic,Nevada,,1983.0,1959.0,,,N,,24.0,,Y,N,,,Cannon,Howard,W.
356,B001209,"Byrd, Harry F.,  ",Independent,Virginia,,1983.0,1965.0,,,N,,18.0,,Y,N,Jr.,,Byrd,Harry,F.
357,B001210,"Byrd, Robert C.",Democratic,West Virginia,,2010.0,1959.0,1953.0,1959.0,N,N,51.0,6.0,Y,Y,,,Byrd,Robert,C.
358,B001126,"Burns, Conrad R.",Republican,Montana,,2007.0,1989.0,,,N,,18.0,,Y,N,,,Burns,Conrad,R.
359,B001077,"Burdick, Quentin N.",Democratic,North Dakota,,1993.0,1959.0,,,N,,34.0,,Y,N,,,Burdick,Quentin,N.
360,B001076,"Burdick, Jocelyn",Democratic,North Dakota,,1993.0,1991.0,,,N,,2.0,,Y,N,,,Burdick,Jocelyn,
361,B001057,"Bumpers, Dale",Democratic,Arkansas,,1999.0,1975.0,,,N,,24.0,,Y,N,,,Bumpers,Dale,
362,B001026,"Buckley, James L.",Republican,New York,,1977.0,1971.0,,,N,,6.0,,Y,N,,,Buckley,James,L.
363,B000993,"Bryan, Richard H.",Democratic,Nevada,,2001.0,1989.0,,,N,,12.0,,Y,N,,,Bryan,Richard,H.
364,B000871,"Brooke, Edward W.",Republican,Massachusetts,,1979.0,1967.0,,,N,,12.0,,Y,N,,,Brooke,Edward,W.
365,B000851,"Brock, Bill",Republican,Tennessee,,1977.0,1971.0,1963.0,1971.0,N,N,6.0,8.0,Y,Y,,,Brock,Bill,
366,B000756,"Brady, Nicholas",Republican,New Jersey,,1983.0,1981.0,,,N,,2.0,,Y,N,,,Brady,Nicholas,
367,B001225,"Bradley, Bill",Democratic,New Jersey,,1997.0,1979.0,,,N,,18.0,,Y,N,,,Bradley,Bill,
368,B000647,"Boschwitz, Rudy",Republican,Minnesota,,1991.0,1979.0,,,N,,12.0,,Y,N,,,Boschwitz,Rudy,
369,B000639,"Boren, David L.",Democratic,Oklahoma,,1995.0,1979.0,,,N,,16.0,,Y,N,,,Boren,David,L.
370,B000611,"Bond, Christopher S.",Republican,Missouri,,2011.0,1987.0,,,N,,24.0,,Y,N,,,Bond,Christopher,S.
371,B000468,"Bingaman, Jeff",Democratic,New Mexico,,2013.0,1983.0,,,N,,30.0,,Y,N,,,Bingaman,Jeff,
372,B000444,"Biden, Joseph R., ",Democratic,Delaware,,2009.0,1973.0,,,N,,36.0,,Y,N,Jr.,,Biden,Joseph,R.
373,B000436,"Bible, Alan",Democratic,Nevada,,1975.0,1953.0,,,N,,22.0,,Y,N,,,Bible,Alan,
374,W000154,"Warner, John",Republican,Virginia,,2009.0,1979.0,,,N,,30.0,,Y,N,,,Warner,John,
375,S001142,"Smith, Gordon H.",Republican,Oregon,,2009.0,1997.0,,,N,,12.0,,Y,N,,,Smith,Gordon,H.
376,L000035,"Lincoln, Blanche L.",Democratic,Arkansas,,2011.0,1999.0,1993.0,1997.0,N,N,12.0,4.0,Y,Y,,,Lincoln,Blanche,L.
377,L000550,"Landrieu, Mary L.",Democratic,Louisiana,,2015.0,1997.0,,,N,,18.0,,Y,N,,,Landrieu,Mary,L.
378,P000590,"Pryor, Mark L.",Democratic,Arkansas,,2015.0,2003.0,,,N,,12.0,,Y,N,,,Pryor,Mark,L.
379,D000601,"Dole, Elizabeth",Republican,North Carolina,,2009.0,2003.0,,,N,,6.0,,Y,N,,,Dole,Elizabeth,
