,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year
1509,M000436,"McFall, John J.",Democratic,California,https://api.congress.gov/v3/member/M000436?format=json,14.0,,,1957,1979
1510,M000433,"McEwen, Robert C.",Republican,New York,https://api.congress.gov/v3/member/M000433?format=json,30.0,,,1965,1981
1511,M000432,"McEwen, Bob",Republican,Ohio,https://api.congress.gov/v3/member/M000432?format=json,6.0,,,1981,1993
1512,M000413,"McDonald, Lawrence P.",Democratic,Georgia,https://api.congress.gov/v3/member/M000413?format=json,7.0,,,1975,1985
1513,M000404,"McDermott, Jim",Democratic,Washington,https://api.congress.gov/v3/member/M000404?format=json,7.0,,,1989,2017
1514,M000399,"McDade, Joseph M.",Republican,Pennsylvania,https://api.congress.gov/v3/member/M000399?format=json,10.0,,,1963,1999
1515,M000398,"McCurdy, Dave",Democratic,Oklahoma,https://api.congress.gov/v3/member/M000398?format=json,4.0,,,1981,1995
1516,M000388,"McCrery, Jim",Republican,Louisiana,https://api.congress.gov/v3/member/M000388?format=json,4.0,,,1987,2011
1517,M000365,"McCormack, Mike",Democratic,Washington,https://api.congress.gov/v3/member/M000365?format=json,4.0,,,1971,1981
1518,M000350,"McCollum, Bill",Republican,Florida,https://api.congress.gov/v3/member/M000350?format=json,8.0,,,1981,2001
1519,M000349,"McCollister, John Y.",Republican,Nebraska,https://api.congress.gov/v3/member/M000349?format=json,2.0,,,1971,1977
1520,M000343,"McCloskey, Paul N., Jr.",Republican,California,https://api.congress.gov/v3/member/M000343?format=json,12.0,,,1967,1983
1521,M000342,"McCloskey, Frank",Democratic,Indiana,https://api.congress.gov/v3/member/M000342?format=json,8.0,,,1983,1995
1522,M000340,"McClory, Robert",Republican,Illinois,https://api.congress.gov/v3/member/M000340?format=json,13.0,,,1963,1983
1523,M000316,"McCarthy, Karen",Democratic,Missouri,https://api.congress.gov/v3/member/M000316?format=json,5.0,,,1995,2005
1524,M000306,"McCandless, Alfred A. (Al)",Republican,California,https://api.congress.gov/v3/member/M000306?format=json,44.0,,,1983,1995
1525,M000303,"McCain, John",Republican,Arizona,https://api.congress.gov/v3/member/M000303?format=json,,2018,1987,1983,1987
1526,M000291,"Mazzoli, Romano L.",Democratic,Kentucky,https://api.congress.gov/v3/member/M000291?format=json,3.0,,,1971,1995
1527,M000286,"Mayne, Wiley",Republican,Iowa,https://api.congress.gov/v3/member/M000286?format=json,6.0,,,1967,1975
1528,M000264,"Mavroules, Nicholas",Democratic,Massachusetts,https://api.congress.gov/v3/member/M000264?format=json,6.0,,,1979,1993
1529,M000260,"Mattox, James A.",Democratic,Texas,https://api.congress.gov/v3/member/M000260?format=json,5.0,,,1977,1983
1530,M000250,"Matsunaga, Spark M.",Democratic,Hawaii,https://api.congress.gov/v3/member/M000250?format=json,,1991,1977,1963,1977
1531,M000249,"Matsui, Robert T.",Democratic,California,https://api.congress.gov/v3/member/M000249?format=json,5.0,,,1979,2005
1532,M000244,"Mathis, Dawson",Democratic,Georgia,https://api.congress.gov/v3/member/M000244?format=json,2.0,,,1971,1981
1533,M000242,"Mathias, Robert B. (Bob)",Republican,California,https://api.congress.gov/v3/member/M000242?format=json,18.0,,,1967,1975
1534,M000212,"Mascara, Frank",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M000212?format=json,20.0,,,1995,2003
1535,M000207,"Martini, William J.",Republican,New Jersey,https://api.congress.gov/v3/member/M000207?format=json,8.0,,,1995,1997
1536,M000206,"Martinez, Matthew G.",Republican,California,https://api.congress.gov/v3/member/M000206?format=json,31.0,,,1981,2001
1537,M000195,"Martin, Lynn M.",Republican,Illinois,https://api.congress.gov/v3/member/M000195?format=json,16.0,,,1981,1991
1538,M000183,"Martin, James G.",Republican,North Carolina,https://api.congress.gov/v3/member/M000183?format=json,9.0,,,1973,1985
1539,M000175,"Martin, David T.",Republican,Nebraska,https://api.congress.gov/v3/member/M000175?format=json,3.0,,,1961,1975
1540,M000174,"Martin, David O'B.",Republican,New York,https://api.congress.gov/v3/member/M000174?format=json,26.0,,,1981,1993
1541,M000143,"Marriott, David Daniel",Republican,Utah,https://api.congress.gov/v3/member/M000143?format=json,2.0,,,1977,1985
1542,M000139,"Marlenee, Ron",Republican,Montana,https://api.congress.gov/v3/member/M000139?format=json,2.0,,,1977,1993
1543,M000136,"Marks, Marc L.",Republican,Pennsylvania,https://api.congress.gov/v3/member/M000136?format=json,24.0,,,1977,1983
1544,M000121,"Maraziti, Joseph J.",Republican,New Jersey,https://api.congress.gov/v3/member/M000121?format=json,13.0,,,1973,1975
1545,M001138,"Manzullo, Donald A.",Republican,Illinois,https://api.congress.gov/v3/member/M001138?format=json,16.0,,,1993,2013
1546,M000117,"Manton, Thomas J.",Democratic,New York,https://api.congress.gov/v3/member/M000117?format=json,7.0,,,1985,1999
1547,M000105,"Mann, James R.",Democratic,South Carolina,https://api.congress.gov/v3/member/M000105?format=json,4.0,,,1969,1979
1548,M000100,"Mann, David",Democratic,Ohio,https://api.congress.gov/v3/member/M000100?format=json,1.0,,,1993,1995
1549,M000078,"Mallary, Richard W.",Republican,Vermont,https://api.congress.gov/v3/member/M000078?format=json,,,,1971,1975
1550,M000070,"Mailliard, William S.",Republican,California,https://api.congress.gov/v3/member/M000070?format=json,6.0,,,1953,1975
