,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House
1085,A000355,"Abraham, Spencer",Republican,Michigan,https://api.congress.gov/v3/member/A000355?format=json,,2001.0,1995.0,,,N,,6.0,,Y,N
1102,W000782,"Wyman, Louis C.",Republican,New Hampshire,https://api.congress.gov/v3/member/W000782?format=json,,1975.0,1974.0,1963.0,1965.0,N,N,1.0,2.0,Y,Y
1115,W000647,"Wirth, Timothy",Democratic,Colorado,https://api.congress.gov/v3/member/W000647?format=json,,1993.0,1987.0,1975.0,1987.0,N,N,6.0,12.0,Y,Y
1178,T000393,"Tsongas, Paul E.",Democratic,Massachusetts,https://api.congress.gov/v3/member/T000393?format=json,,1985.0,1979.0,1975.0,1979.0,N,N,6.0,4.0,Y,Y
1179,T000367,"Trible, Paul S., Jr.",Republican,Virginia,https://api.congress.gov/v3/member/T000367?format=json,,1989.0,1983.0,1977.0,1983.0,N,N,6.0,6.0,Y,Y
1185,T000317,"Torricelli, Robert G.",Democratic,New Jersey,https://api.congress.gov/v3/member/T000317?format=json,,2003.0,1997.0,1983.0,1997.0,N,N,6.0,14.0,Y,Y
1199,T000162,"Thomas, Craig",Republican,Wyoming,https://api.congress.gov/v3/member/T000162?format=json,,2007.0,1995.0,1989.0,1995.0,N,N,12.0,6.0,Y,Y
1213,T000024,"Talent, Jim",Republican,Missouri,https://api.congress.gov/v3/member/T000024?format=json,,2007.0,2002.0,1993.0,2001.0,N,N,5.0,8.0,Y,Y
1216,S001138,"Symms, Steven D.",Republican,Idaho,https://api.congress.gov/v3/member/S001138?format=json,,1993.0,1981.0,1973.0,1981.0,N,N,12.0,8.0,Y,Y
1263,S000663,"Snowe, Olympia J.",Republican,Maine,https://api.congress.gov/v3/member/S000663?format=json,,2013.0,1995.0,1979.0,1995.0,N,N,18.0,16.0,Y,Y
1266,S000606,"Smith, Bob",Republican,New Hampshire,https://api.congress.gov/v3/member/S000606?format=json,,2003.0,1991.0,1985.0,1991.0,N,N,12.0,6.0,Y,Y
1289,S000423,"Simon, Paul",Democratic,Illinois,https://api.congress.gov/v3/member/S000423?format=json,,1997.0,1985.0,1975.0,1985.0,N,N,12.0,10.0,Y,Y
1327,S000064,"Sarbanes, Paul S.",Democratic,Maryland,https://api.congress.gov/v3/member/S000064?format=json,,2007.0,1977.0,1971.0,1977.0,N,N,30.0,6.0,Y,Y
1328,S000059,"Santorum, Rick",Republican,Pennsylvania,https://api.congress.gov/v3/member/S000059?format=json,,2007.0,1995.0,1991.0,1995.0,N,N,12.0,4.0,Y,Y
1372,R000307,"Roberts, Pat",Republican,Kansas,https://api.congress.gov/v3/member/R000307?format=json,,2021.0,1997.0,1981.0,1997.0,N,N,24.0,16.0,Y,Y
1379,R000249,"Riegle, Donald W., Jr.",Democratic,Michigan,https://api.congress.gov/v3/member/R000249?format=json,,1995.0,1977.0,1967.0,1977.0,N,N,18.0,10.0,Y,Y
1384,B000780,"Breaux, John B.",Democratic,Louisiana,https://api.congress.gov/v3/member/B000780?format=json,,2005.0,1987.0,1971.0,1987.0,N,N,18.0,16.0,Y,Y
1388,B000711,"Boxer, Barbara",Democratic,California,https://api.congress.gov/v3/member/B000711?format=json,,2017.0,1993.0,1983.0,1993.0,N,N,24.0,10.0,Y,Y
1425,N000032,"Nelson, Bill",Democratic,Florida,https://api.congress.gov/v3/member/N000032?format=json,,2019.0,2001.0,1979.0,1991.0,N,N,18.0,12.0,Y,Y
1481,M000702,"Mikulski, Barbara A.",Democratic,Maryland,https://api.congress.gov/v3/member/M000702?format=json,,2017.0,1987.0,1977.0,1987.0,N,N,30.0,10.0,Y,Y
1491,M000635,"Melcher, John",Democratic,Montana,https://api.congress.gov/v3/member/M000635?format=json,,1989.0,1977.0,1969.0,1977.0,N,N,12.0,8.0,Y,Y
1525,M000303,"McCain, John",Republican,Arizona,https://api.congress.gov/v3/member/M000303?format=json,,2018.0,1987.0,1983.0,1987.0,N,N,31.0,4.0,Y,Y
1530,M000250,"Matsunaga, Spark M.",Democratic,Hawaii,https://api.congress.gov/v3/member/M000250?format=json,,1991.0,1977.0,1963.0,1977.0,N,N,14.0,14.0,Y,Y
1556,M000019,"Mack, Connie, III",Republican,Florida,https://api.congress.gov/v3/member/M000019?format=json,,2001.0,1989.0,1983.0,1989.0,N,N,12.0,6.0,Y,Y
1570,L000447,"Lott, Trent",Republican,Mississippi,https://api.congress.gov/v3/member/L000447?format=json,,2007.0,1989.0,1973.0,1989.0,N,N,18.0,16.0,Y,Y
1573,T000035,"Talmadge, Herman E.",Democratic,Georgia,https://api.congress.gov/v3/member/T000035?format=json,,1981.0,1957.0,,,N,,24.0,,Y,N
1574,T000010,"Taft, Robert, Jr.",Republican,Ohio,https://api.congress.gov/v3/member/T000010?format=json,,1977.0,1971.0,1963.0,1965.0,N,N,6.0,2.0,Y,Y
1575,S001136,"Symington, Stuart",Democratic,Missouri,https://api.congress.gov/v3/member/S001136?format=json,,1977.0,1953.0,,,N,,24.0,,Y,N
1576,S000962,"Stone, Richard (Dick)",Democratic,Florida,https://api.congress.gov/v3/member/S000962?format=json,,1981.0,1975.0,,,N,,6.0,,Y,N
1577,S000907,"Stewart, Donald",Democratic,Alabama,https://api.congress.gov/v3/member/S000907?format=json,,1981.0,1977.0,,,N,,4.0,,Y,N
1578,S000890,"Stevenson, Adlai E., III",Democratic,Illinois,https://api.congress.gov/v3/member/S000890?format=json,,1981.0,1969.0,,,N,,12.0,,Y,N
1579,S000888,"Stevens, Ted",Republican,Alaska,https://api.congress.gov/v3/member/S000888?format=json,,2009.0,1967.0,,,N,,42.0,,Y,N
1580,S000852,"Stennis, John C.",Democratic,Mississippi,https://api.congress.gov/v3/member/S000852?format=json,,1989.0,1947.0,,,N,,42.0,,Y,N
1581,S000776,"Stafford, Robert T.",Republican,Vermont,https://api.congress.gov/v3/member/S000776?format=json,,1989.0,1971.0,1961.0,1971.0,N,N,18.0,10.0,Y,Y
1582,S000709,"Specter, Arlen",Democratic,Pennsylvania,https://api.congress.gov/v3/member/S000709?format=json,,2011.0,1981.0,,,N,,30.0,,Y,N
1583,S000701,"Sparkman, John J.",Democratic,Alabama,https://api.congress.gov/v3/member/S000701?format=json,,1979.0,1945.0,1937.0,1945.0,N,N,34.0,8.0,Y,Y
1584,S000429,"Simpson, Alan K.",Republican,Wyoming,https://api.congress.gov/v3/member/S000429?format=json,,1997.0,1979.0,,,N,,18.0,,Y,N
1585,S000269,"Seymour, John",Republican,California,https://api.congress.gov/v3/member/S000269?format=json,,1993.0,1991.0,,,N,,2.0,,Y,N
1586,S000189,"Scott, William Lloyd",Republican,Virginia,https://api.congress.gov/v3/member/S000189?format=json,,1979.0,1973.0,1967.0,1973.0,N,N,6.0,6.0,Y,Y
1587,S000174,"Scott, Hugh",Republican,Pennsylvania,https://api.congress.gov/v3/member/S000174?format=json,,1977.0,1959.0,1941.0,1945.0,N,N,18.0,4.0,Y,Y
1588,S000159,"Schweiker, Richard S.",Republican,Pennsylvania,https://api.congress.gov/v3/member/S000159?format=json,,1981.0,1969.0,1961.0,1969.0,N,N,12.0,8.0,Y,Y
1589,S000132,"Schmitt, Harrison H.",Republican,New Mexico,https://api.congress.gov/v3/member/S000132?format=json,,1983.0,1977.0,,,N,,6.0,,Y,N
1590,S000096,"Saxbe, William B.",Republican,Ohio,https://api.congress.gov/v3/member/S000096?format=json,,1975.0,1969.0,,,N,,6.0,,Y,N
1591,S000068,"Sasser, Jim",Democratic,Tennessee,https://api.congress.gov/v3/member/S000068?format=json,,1995.0,1977.0,,,N,,18.0,,Y,N
1592,S000055,"Sanford, Terry",Democratic,North Carolina,https://api.congress.gov/v3/member/S000055?format=json,,1993.0,1985.0,,,N,,8.0,,Y,N
1593,R000497,"Rudman, Warren",Republican,New Hampshire,https://api.congress.gov/v3/member/R000497?format=json,,1993.0,1981.0,,,N,,12.0,,Y,N
1594,R000460,"Roth Jr., William V.",Republican,Delaware,https://api.congress.gov/v3/member/R000460?format=json,,2001.0,1969.0,1967.0,1969.0,N,N,32.0,2.0,Y,Y
1595,R000361,"Rockefeller, John D., IV",Democratic,West Virginia,https://api.congress.gov/v3/member/R000361?format=json,,2015.0,1985.0,,,N,,30.0,,Y,N
