,Unnamed: 0,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle,First Last,2013 Contributions,2014 Contributions,2015 Contributions,2016 Contributions,2017 Contributions,2018 Contributions,2019 Contributions,2020 Contributions,2021 Contributions,2022 Contributions,Total Contributions 2013-2022
205,205,R000307,"Roberts, Pat",Republican,Kansas,,2021.0,1997.0,1981.0,1997.0,N,N,24.0,16.0,Y,Y,,,Roberts,Pat,,Pat Roberts,995892.6,6988655.7,329300.0,530058.55,510297.20999999996,412115.0,115402.94,49258.11,0.0,1500.0,9932480.109999998
206,206,R000249,"Riegle, Donald W., ",Democratic,Michigan,,1995.0,1977.0,1967.0,1977.0,N,N,18.0,10.0,Y,Y,Jr.,,Riegle,Donald,W.,Donald Riegle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,207,B000780,"Breaux, John B.",Democratic,Louisiana,,2005.0,1987.0,1971.0,1987.0,N,N,18.0,16.0,Y,Y,,,Breaux,John,B.,John Breaux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,208,B000711,"Boxer, Barbara",Democratic,California,,2017.0,1993.0,1983.0,1993.0,N,N,24.0,10.0,Y,Y,,,Boxer,Barbara,,Barbara Boxer,89577.13,61915.13,115536.01000000001,19566.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,286594.47000000003
209,209,N000032,"Nelson, Bill",Democratic,Florida,,2019.0,2001.0,1979.0,1991.0,N,N,18.0,12.0,Y,Y,,,Nelson,Bill,,Bill Nelson,1222838.0,216950.0,387678.86,659752.2,1535073.57,1227007.1500000001,-10500.0,0.0,0.0,20428.0,5259227.78
210,210,M000702,"Mikulski, Barbara A.",Democratic,Maryland,,2017.0,1987.0,1977.0,1987.0,N,N,30.0,10.0,Y,Y,,,Mikulski,Barbara,A.,Barbara Mikulski,390043.0,363558.16000000003,234328.86,150027.5,1000.0,0.0,0.0,0.0,0.0,0.0,1138957.52
211,211,M000635,"Melcher, John",Democratic,Montana,,1989.0,1977.0,1969.0,1977.0,N,N,12.0,8.0,Y,Y,,,Melcher,John,,John Melcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,212,M000303,"McCain, John",Republican,Arizona,,2018.0,1987.0,1983.0,1987.0,N,N,31.0,4.0,Y,Y,,,McCain,John,,John McCain,904199.2,6136583.14,942109.0,717528.52,303391.0,138500.0,5000.0,0.0,0.0,25000.0,9172310.86
213,213,M000250,"Matsunaga, Spark M.",Democratic,Hawaii,,1991.0,1977.0,1963.0,1977.0,N,N,14.0,14.0,Y,Y,,,Matsunaga,Spark,M.,Spark Matsunaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,214,M000019,"Mack, Connie, ",Republican,Florida,,2001.0,1989.0,1983.0,1989.0,N,N,12.0,6.0,Y,Y,III,,Mack,Connie,,Connie Mack,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
215,215,L000447,"Lott, Trent",Republican,Mississippi,,2007.0,1989.0,1973.0,1989.0,N,N,18.0,16.0,Y,Y,,,Lott,Trent,,Trent Lott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,216,T000035,"Talmadge, Herman E.",Democratic,Georgia,,1981.0,1957.0,,,N,,24.0,,Y,N,,,Talmadge,Herman,E.,Herman Talmadge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,217,T000010,"Taft, Robert, ",Republican,Ohio,,1977.0,1971.0,1963.0,1965.0,N,N,6.0,2.0,Y,Y,Jr.,,Taft,Robert,,Robert Taft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,218,S001136,"Symington, Stuart",Democratic,Missouri,,1977.0,1953.0,,,N,,24.0,,Y,N,,,Symington,Stuart,,Stuart Symington,0.0,0.0,0.0,0.0,2500.0,0.0,2500.0,0.0,0.0,402.27,5402.27
219,219,S000962,"Stone, Richard ",Democratic,Florida,,1981.0,1975.0,,,N,,6.0,,Y,N,,Dick,Stone,Richard,,Richard Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,220,S000907,"Stewart, Donald",Democratic,Alabama,,1981.0,1977.0,,,N,,4.0,,Y,N,,,Stewart,Donald,,Donald Stewart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,221,S000890,"Stevenson, Adlai E., ",Democratic,Illinois,,1981.0,1969.0,,,N,,12.0,,Y,N,III,,Stevenson,Adlai,E.,Adlai Stevenson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,222,S000888,"Stevens, Ted",Republican,Alaska,,2009.0,1967.0,,,N,,42.0,,Y,N,,,Stevens,Ted,,Ted Stevens,0.0,0.0,13600.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,33600.0
223,223,S000852,"Stennis, John C.",Democratic,Mississippi,,1989.0,1947.0,,,N,,42.0,,Y,N,,,Stennis,John,C.,John Stennis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,224,S000776,"Stafford, Robert T.",Republican,Vermont,,1989.0,1971.0,1961.0,1971.0,N,N,18.0,10.0,Y,Y,,,Stafford,Robert,T.,Robert Stafford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,225,S000709,"Specter, Arlen",Democratic,Pennsylvania,,2011.0,1981.0,,,N,,30.0,,Y,N,,,Specter,Arlen,,Arlen Specter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,226,S000701,"Sparkman, John J.",Democratic,Alabama,,1979.0,1945.0,1937.0,1945.0,N,N,34.0,8.0,Y,Y,,,Sparkman,John,J.,John Sparkman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,227,S000429,"Simpson, Alan K.",Republican,Wyoming,,1997.0,1979.0,,,N,,18.0,,Y,N,,,Simpson,Alan,K.,Alan Simpson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,500.0,1500.0
228,228,S000269,"Seymour, John",Republican,California,,1993.0,1991.0,,,N,,2.0,,Y,N,,,Seymour,John,,John Seymour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,229,S000189,"Scott, William Lloyd",Republican,Virginia,,1979.0,1973.0,1967.0,1973.0,N,N,6.0,6.0,Y,Y,,,Scott,William,Lloyd,William Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,230,S000174,"Scott, Hugh",Republican,Pennsylvania,,1977.0,1959.0,1941.0,1945.0,N,N,18.0,4.0,Y,Y,,,Scott,Hugh,,Hugh Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,231,S000159,"Schweiker, Richard S.",Republican,Pennsylvania,,1981.0,1969.0,1961.0,1969.0,N,N,12.0,8.0,Y,Y,,,Schweiker,Richard,S.,Richard Schweiker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,232,S000132,"Schmitt, Harrison H.",Republican,New Mexico,,1983.0,1977.0,,,N,,6.0,,Y,N,,,Schmitt,Harrison,H.,Harrison Schmitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,233,S000096,"Saxbe, William B.",Republican,Ohio,,1975.0,1969.0,,,N,,6.0,,Y,N,,,Saxbe,William,B.,William Saxbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,234,S000068,"Sasser, Jim",Democratic,Tennessee,,1995.0,1977.0,,,N,,18.0,,Y,N,,,Sasser,Jim,,Jim Sasser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,235,S000055,"Sanford, Terry",Democratic,North Carolina,,1993.0,1985.0,,,N,,8.0,,Y,N,,,Sanford,Terry,,Terry Sanford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,236,R000497,"Rudman, Warren",Republican,New Hampshire,,1993.0,1981.0,,,N,,12.0,,Y,N,,,Rudman,Warren,,Warren Rudman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,237,R000460,"Roth , William V.",Republican,Delaware,,2001.0,1969.0,1967.0,1969.0,N,N,32.0,2.0,Y,Y,Jr.,,Roth ,William,V.,William Roth ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,238,R000361,"Rockefeller, John D., ",Democratic,West Virginia,,2015.0,1985.0,,,N,,30.0,,Y,N,IV,,Rockefeller,John,D.,John Rockefeller,26364.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26364.63
239,239,R000295,"Robb, Charles S.",Democratic,Virginia,,2001.0,1989.0,,,N,,12.0,,Y,N,,,Robb,Charles,S.,Charles Robb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,240,R000191,"Ribicoff, Abraham A.",Democratic,Connecticut,,1981.0,1963.0,1949.0,1953.0,N,N,18.0,4.0,Y,Y,,,Ribicoff,Abraham,A.,Abraham Ribicoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,241,R000046,"Randolph, Jennings",Democratic,West Virginia,,1985.0,1957.0,1933.0,1947.0,N,N,28.0,14.0,Y,Y,,,Randolph,Jennings,,Jennings Randolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,242,P000556,"Pryor, David H.",Democratic,Arkansas,,1997.0,1979.0,1965.0,1973.0,N,N,18.0,8.0,Y,Y,,,Pryor,David,H.,David Pryor,200.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
243,243,P000553,"Proxmire, William",Democratic,Wisconsin,,1989.0,1957.0,,,N,,32.0,,Y,N,,,Proxmire,William,,William Proxmire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,244,P000222,"Percy, Charles H.",Republican,Illinois,,1985.0,1967.0,,,N,,18.0,,Y,N,,,Percy,Charles,H.,Charles Percy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,245,P000193,"Pell, Claiborne",Democratic,Rhode Island,,1997.0,1961.0,,,N,,36.0,,Y,N,,,Pell,Claiborne,,Claiborne Pell,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
246,246,P000166,"Pearson, James B.",Republican,Kansas,,1979.0,1961.0,,,N,,18.0,,Y,N,,,Pearson,James,B.,James Pearson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,247,P000100,"Pastore, John O.",Democratic,Rhode Island,,1977.0,1949.0,,,N,,28.0,,Y,N,,,Pastore,John,O.,John Pastore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
